trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.9, 'e': 0.13840100143814513}",30,0,-180.55397721642203,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
73,False,"{'a': 0.9, 'e': 0.1347141705880444}",30,3,-98.29699725033853,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 1}",1
74,False,"{'a': 0.9, 'e': 0.13112555233450018}",20,0,-58.416845109298315,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.9, 'e': 0.1276325304158735}",25,0,-126.15344237039996,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.9, 'e': 0.12423255826448729}",20,10,-27.913545203608628,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.12092315715006582}",30,0,-96.29453785403365,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
78,False,"{'a': 0.9, 'e': 0.11770191437263054}",30,0,-165.2735285953839,"{0: 18, 1: 5, 2: 2, 3: 3, 4: 2}",0
79,False,"{'a': 0.9, 'e': 0.11456648150353484}",25,0,-138.6678887714761,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
80,False,"{'a': 0.9, 'e': 0.11151457267335561}",25,5,-149.54933035978596,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",1
81,False,"{'a': 0.9, 'e': 0.10854396290539328}",25,0,-119.64425053887035,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.10565248649356515}",30,0,-194.01469718459194,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
83,False,"{'a': 0.9, 'e': 0.10283803542350979}",25,4,-143.1801306742463,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 2}",1
84,False,"{'a': 0.9, 'e': 0.1000985578357512}",20,0,-135.67704624138287,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
85,False,"{'a': 0.9, 'e': 0.09743205652980236}",25,0,34.14767617038896,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.9, 'e': 0.09483658750811778}",25,7,29.417744777372594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.09231025855883292}",20,0,23.680887011003318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.9, 'e': 0.08985122787625814}",20,14,12.033957906864998,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.0874577027181207}",30,19,20.502555240038486,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.08512793809857633}",20,6,28.18832575301314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.08286023551603713}",30,21,16.867260105914088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.08065294171488883}",25,0,13.636704059095017,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.07850444748019415}",30,0,47.00226348464811,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.9, 'e': 0.07641318646450387}",20,10,18.950025021219112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.07437763404592013}",30,19,21.93049289411793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.07239630621657958}",25,19,9.657856657115637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.9, 'e': 0.07046775850074595}",25,17,16.268530260956965,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.06859058490172318}",20,14,-9.174752856493809,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.9, 'e': 0.06676341687682169}",20,0,-16.872707287430803,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.9, 'e': 0.06498492233963002}",20,7,4.206362527465231,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 0.06325380468886488}",20,12,11.384740915381574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.061568801863091424}",25,7,-17.521846999890197,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.9, 'e': 0.05992868542062456}",20,8,20.47024383942788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.9, 'e': 0.05833225964394053}",25,14,15.25333129827414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9, 'e': 0.05677836066794592}",25,11,27.64699831969531,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.0552658556314684}",20,12,11.463919158277745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.9, 'e': 0.05379364185135084}",20,1,29.791235932063522,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.05236064601854637}",25,3,36.229237005842414,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 0.05096582341562861}",25,14,19.505241007090927,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.04960815715514635}",20,2,6.028257254821892,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.048286657438267655}",30,13,27.667936867904974,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.04700036083317255}",20,13,11.422048324569255,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.9, 'e': 0.04574832957266864}",30,14,-55.366226204977885,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
114,False,"{'a': 0.9, 'e': 0.04452965087051727}",20,15,8.712226451778761,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 0.04334343625597195}",20,13,15.790654180634247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.042188820926043806}",20,16,5.815957095015513,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
